fit_area,week,resp,pred_area,model,loocv_R2,loocv_rmse
TII,27,moist_mean,KIL,lm,0.09083375047030715,33.06731318676096
TII,27,moist_mean,VAR,lm,0.13476604079679966,29.09484508584877
TII,27,moist_mean,PIS,lm,0.36796258302596446,37.13802255427009
TII,27,moist_mean,HYY,lm,0.17514936263290265,21.44458464325051
TII,27,moist_mean,KAR,lm,0.2115259011174637,23.29480988134241
TII,27,moist_mean,TII,lm,0.2651603326235641,12.337551210905348
TII,27,moist_mean,KIL,gam,0.03505828462485617,33.97753701307872
TII,27,moist_mean,VAR,gam,0.3019836613379174,25.77040563881422
TII,27,moist_mean,PIS,gam,0.20511171926219302,31.07940773289596
TII,27,moist_mean,HYY,gam,0.13865772489855321,23.280536250549233
TII,27,moist_mean,KAR,gam,0.21783373748130633,22.23805880213772
TII,27,moist_mean,TII,gam,0.31264559360440825,11.864525507073159
TII,28,moist_mean,KIL,lm,0.0947015080423248,34.64092303116692
TII,28,moist_mean,VAR,lm,0.13385612504669026,30.98579618420554
TII,28,moist_mean,PIS,lm,0.36115258877174966,40.02165993510056
TII,28,moist_mean,HYY,lm,0.20525260184917216,22.130837066397156
TII,28,moist_mean,KAR,lm,0.18880732614249018,25.232982983526078
TII,28,moist_mean,TII,lm,0.28616726112933843,12.958393196382268
TII,28,moist_mean,KIL,gam,0.02595672770337603,37.245740722305605
TII,28,moist_mean,VAR,gam,0.2791805180311186,27.24932146086322
TII,28,moist_mean,PIS,gam,0.1389092477950965,34.29377913164096
TII,28,moist_mean,HYY,gam,0.16747324783958248,23.8788771848267
TII,28,moist_mean,KAR,gam,0.15189300823561183,23.88283804204562
TII,28,moist_mean,TII,gam,0.33157527364276335,12.507639334606136
TII,29,moist_mean,KIL,lm,0.07869038516067588,33.87711410746749
TII,29,moist_mean,VAR,lm,0.14428802413744987,34.657510424085544
TII,29,moist_mean,PIS,lm,0.34338950876044855,39.74532083578783
TII,29,moist_mean,HYY,lm,0.189824066681565,24.55903550908275
TII,29,moist_mean,KAR,lm,0.16958657077339037,24.651951515206214
TII,29,moist_mean,TII,lm,0.2829297801331628,13.116607371909208
TII,29,moist_mean,KIL,gam,0.019742037144159303,40.94328545869399
TII,29,moist_mean,VAR,gam,0.24711155864208306,30.79302074308384
TII,29,moist_mean,PIS,gam,0.10028823106844395,38.523631445247815
TII,29,moist_mean,HYY,gam,0.15302240008148876,26.364065727031523
